"Pathways"	"Fourth Level"	"Third Level"	"Second Level"	"First Level"
PWY-7761	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis
PWY-6099	Chlorobenzene-Degradation	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation
PWY-5027	Phylloquinone-Biosynthesis // Vitamin-Biosynthesis	Quinone-Biosynthesis // Cofactor-Biosynthesis	Electron-Carrier-Biosynthesis // Biosynthesis	Carriers-Biosynthesis // Pathways
PWY-5998	Gamma-linolenate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis
PWY-6241	HORMONE-SYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-7908	Formaldehyde-Oxidation	C1-COMPOUNDS	Degradation	Pathways
PWY-2981	DITERPENOID-SYN // TERPENOID-PHYTOALEXINS	Terpenoid-Biosynthesis // PHYTOALEXIN-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-5947	C40-Carotenoids-Biosynthesis	CAROTENOID-SYN // TETRATERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7999	Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-5530	Sorbitol-Biosynthesis	Sugar-Alcohols-Biosynthesis	SUGAR-DERIVS	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7150	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PYRIDNUCSAL-PWY	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis
PWY-5148	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6438	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7655	Antibiotic-Biosynthesis // POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5477	GALLOTANNINS	TANNIN-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7757	Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-4302	AEROBIC-RESPIRATION // Electron-Transfer	Respiration // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions
PWY-1801	Formaldehyde-Oxidation	C1-COMPOUNDS	Degradation	Pathways
PWY-7734	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWYQT-4450	GLUCOSINOLATE-SYN	N-CONTAINING-GLUCOSIDE-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY0-461	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-6690	Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY66-423	Metabolic-Regulators	Biosynthesis	Pathways	Generalized-Reactions
NAD-BIOSYNTHESIS-III	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis
PWY-6539	S-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6081	Chlorobenzene-Degradation	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation
PWY18C3-2	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
HCAMHPDEG-PWY	Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY1G-170	Formaldehyde-Oxidation	C1-COMPOUNDS	Degradation	Pathways
PWY-7079	QUINONE-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6080	Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-7108	Macrolides-Biosynthesis	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6464	Alcohol-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-5653	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis
PWY-6095	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-5319	COUMARIN-SYN // PHENYLPROPANOID-DERIVATIVE-DEG	PHENYLPROPANOID-SYN // Phenolic-Compounds-Degradation // SECONDARY-METABOLITE-DEGRADATION	SECONDARY-METABOLITE-BIOSYNTHESIS // AROMATIC-COMPOUNDS-DEGRADATION // Degradation	Biosynthesis // Degradation // Pathways
PWY-4521	AEROBIC-RESPIRATION // Arsenate-Detoxification // CHEMOAUTOTROPHIC-ENERGY-METABOLISM // Electron-Transfer	Respiration // Detoxification // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions
PWY-5669	PhosphatidylethanolamineBiosynthesis // Phosphatidylserine-Biosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-1723	Formaldehyde-Oxidation	C1-COMPOUNDS	Degradation	Pathways
PWY0-1280	Alcohol-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-8047	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
LYSINE-DEG1-PWY	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-7046	PHENYLPROPANOID-DERIVATIVE-DEG	Phenolic-Compounds-Degradation // SECONDARY-METABOLITE-DEGRADATION	AROMATIC-COMPOUNDS-DEGRADATION // Degradation	Degradation // Pathways
PWY-6376	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
CYCLOHEXANOL-OXIDATION-PWY	Alcohol-Degradation	Degradation	Pathways	Generalized-Reactions
PWY3O-4107	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis
PWY-6091	Chlorobenzene-Degradation	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation
PWY66-380	HORMONE-SYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-8002	PHENYLPROPANOID-DERIVATIVE-DEG	Phenolic-Compounds-Degradation // SECONDARY-METABOLITE-DEGRADATION	AROMATIC-COMPOUNDS-DEGRADATION // Degradation	Degradation // Pathways
P185-PWY	Formaldehyde-Assimilation	C1-COMPOUNDS	Degradation	Pathways
PWY-7013	Alcohol-Degradation // Fermentation-to-propanoate	Degradation // Fermentation-to-Acids	Pathways // Fermentation	Generalized-Reactions // Energy-Metabolism
PWY-7477	TERPENOID-PHYTOALEXINS	PHYTOALEXIN-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-7940	C40-Carotenoids-Biosynthesis	CAROTENOID-SYN // TETRATERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-116	LIGNIN-SYN // PHENYLPROPANOID-DERIVATIVE-DEG	PHENYLPROPANOID-SYN // Phenolic-Compounds-Degradation // SECONDARY-METABOLITE-DEGRADATION	SECONDARY-METABOLITE-BIOSYNTHESIS // AROMATIC-COMPOUNDS-DEGRADATION // Degradation	Biosynthesis // Degradation // Pathways
PWY-7309	Acrylonitrile-Degradation	Other-Degradation	Degradation	Pathways
PWY-5348	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
NAD-BIOSYNTHESIS-II	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis
PWY66-389	Alcohol-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7745	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-8063	Enzyme-Cofactor-Biosynthesis // Protein-Modification	Cofactor-Biosynthesis // Macromolecule-Modification	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-7561	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7737	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5476	ELLAGITANNINS	TANNIN-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6667	PHENYLPROPANOID-DERIVATIVE-DEG	Phenolic-Compounds-Degradation // SECONDARY-METABOLITE-DEGRADATION	AROMATIC-COMPOUNDS-DEGRADATION // Degradation	Degradation // Pathways
PWY-5303	AEROBIC-RESPIRATION // Thiosulfate-Oxidation	Respiration // Sulfur-Metabolism	Energy-Metabolism // Noncarbon-Nutrients	Pathways // Degradation
PWY-1861	Formaldehyde-Assimilation	C1-COMPOUNDS	Degradation	Pathways
PWY-8033	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6420	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWYQT-4473	GLUCOSINOLATE-SYN	N-CONTAINING-GLUCOSIDE-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5283	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-7791	UMP-Biosynthesis	Pyrimid-Ribonucleot-De-Novo-Biosyn	Pyrimidine-De-Novo-Biosyn	PYR-NUC-SYN
PWY-7214	PHENYLPROPANOID-DERIVATIVE-DEG // REACTIVE-OXYGEN-SPECIES-DEGRADATION	Phenolic-Compounds-Degradation // SECONDARY-METABOLITE-DEGRADATION // Detoxification	AROMATIC-COMPOUNDS-DEGRADATION // Degradation // Pathways	Degradation // Pathways // Generalized-Reactions
PWY-8001	S-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY3O-4106	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis
14DICHLORBENZDEG-PWY	Chlorobenzene-Degradation	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation
PWY-8057	Enzyme-Cofactor-Biosynthesis // Protein-Modification	Cofactor-Biosynthesis // Macromolecule-Modification	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-5748	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6343	PHENYLPROPANOID-DERIVATIVE-DEG	Phenolic-Compounds-Degradation // SECONDARY-METABOLITE-DEGRADATION	AROMATIC-COMPOUNDS-DEGRADATION // Degradation	Degradation // Pathways
PWY-1622	Formaldehyde-Assimilation	C1-COMPOUNDS	Degradation	Pathways
PWY-7520	INDOLE-ALKALOIDS // QUINONE-SYN	ALKALOIDS-SYN // PHENYLPROPANOID-SYN	N-CONTAINING-SECONDARY-CMPD-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis
PWY-5196	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways
PWY-7790	UMP-Biosynthesis	Pyrimid-Ribonucleot-De-Novo-Biosyn	Pyrimidine-De-Novo-Biosyn	PYR-NUC-SYN
PWY-7113	PHENYLPROPANOID-DERIVATIVE-DEG	Phenolic-Compounds-Degradation // SECONDARY-METABOLITE-DEGRADATION	AROMATIC-COMPOUNDS-DEGRADATION // Degradation	Degradation // Pathways
PWY-7412	Macrolides-Biosynthesis	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-7308	Acrylonitrile-Degradation	Other-Degradation	Degradation	Pathways
PYRIDNUCSYN-PWY	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis
PWY-7928	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-112	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-8003	PHENYLPROPANOID-DERIVATIVE-DEG	Phenolic-Compounds-Degradation // SECONDARY-METABOLITE-DEGRADATION	AROMATIC-COMPOUNDS-DEGRADATION // Degradation	Degradation // Pathways
PWY-7279	AEROBIC-RESPIRATION // Electron-Transfer	Respiration // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions
PWY-7506	Phosphatidylserine-Biosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-5506	Methanol-Oxidation	C1-COMPOUNDS	Degradation	Pathways
PWY-5957	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5314	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
SAM-PWY	C1-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Carriers-Biosynthesis // Cofactor-Biosynthesis	Cofactor-Biosynthesis // Biosynthesis	Biosynthesis // Pathways
PWY-5686	UMP-Biosynthesis	Pyrimid-Ribonucleot-De-Novo-Biosyn	Pyrimidine-De-Novo-Biosyn	PYR-NUC-SYN
PWY-7652	ANTIBIOTIC-DEGRADATION	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways
PWY-7989	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-3961	Pantothenate-Biosynthesis	CoA-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis
GLUTATHIONESYN-PWY	Enzyme-Cofactor-Biosynthesis // Reductants	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis	Biosynthesis // Carriers-Biosynthesis	Pathways // Cofactor-Biosynthesis
PWY-7299	HORMONE-SYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-7808	ANTIBIOTIC-DEGRADATION // Antibiotic-Resistance	SECONDARY-METABOLITE-DEGRADATION // Detoxification	Degradation // Pathways	Pathways // Generalized-Reactions
PWY-6966	Methanol-Oxidation	C1-COMPOUNDS	Degradation	Pathways
PWY-7484	DITERPENOID-SYN // TERPENOID-PHYTOALEXINS	Terpenoid-Biosynthesis // PHYTOALEXIN-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6286	C40-Carotenoids-Biosynthesis	CAROTENOID-SYN // TETRATERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7250	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-743	Thiocyanate-Degradation	Other-Degradation	Degradation	Pathways
PWY-7160	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PANTO-PWY	Pantothenate-Biosynthesis	CoA-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis
PWY-5885	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-4801	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7748	Yatein-Biosynthesis	LIGNAN-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7429	AEROBIC-RESPIRATION // Arsenate-Detoxification // CHEMOAUTOTROPHIC-ENERGY-METABOLISM // Electron-Transfer	Respiration // Detoxification // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions
PWY-6510	Methanol-Oxidation	C1-COMPOUNDS	Degradation	Pathways
PWY-5887	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-1187	GLUCOSINOLATE-SYN	N-CONTAINING-GLUCOSIDE-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6328	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
OCTOPINEDEG-PWY	N-CONTAINING-SECONDARY-CMPD-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways
PWY-5706	S-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6654	Pantothenate-Biosynthesis	CoA-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis
PWY-6148	C1-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-6013	Acetlylenic-Fatty-Acid-Biosynthesis // PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis
PWY-7600	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
NOPALINEDEG-PWY	N-CONTAINING-SECONDARY-CMPD-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways
PWY-6509	Methanol-Oxidation	C1-COMPOUNDS	Degradation	Pathways
PWY-5371	QUINONE-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-31	N-CONTAINING-SECONDARY-CMPD-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways
PWY-7422	Macrolides-Biosynthesis	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
P581-PWY	Thiocyanate-Degradation	Other-Degradation	Degradation	Pathways
PWY-6643	Coenzyme-M-Biosynthesis	C1-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis
COA-PWY	CoA-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-6109	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
GLUAMCAT-PWY	N-Acetylglucosamine-Degradation	AMINE-DEG // Sugar-Derivatives	Degradation // SECONDARY-METABOLITE-DEGRADATION	Pathways // Degradation
